payment_id,order_id,payment_method,amount
114,405,gift_card,2858
115,1690,credit_card,7143
116,7396,bank_transfer,4458
117,912,credit_card,316
118,3987,bank_transfer,5021
119,1678,credit_card,928
120,7244,coupon,3975
121,5849,credit_card,3698
122,6706,coupon,3898
123,2521,bank_transfer,2663
124,8771,credit_card,4583
125,1610,credit_card,5838
126,5335,gift_card,3734
127,5744,gift_card,4484
128,2636,credit_card,4764
129,6736,gift_card,1825
130,1687,credit_card,6940
131,5767,bank_transfer,1169
132,7171,coupon,1583
133,9003,credit_card,4271
134,221,gift_card,556
135,2236,credit_card,3898
136,8945,bank_transfer,1685
137,9220,credit_card,7385
138,7504,credit_card,836
139,2825,gift_card,6871
140,7399,gift_card,7388
141,3654,bank_transfer,6720
142,4318,gift_card,84
143,5707,coupon,5434
144,8290,coupon,2006
145,71,coupon,4524
146,3951,gift_card,2519
147,6937,gift_card,5969
148,303,credit_card,7439
149,8323,coupon,2173
150,9352,bank_transfer,438
151,4780,credit_card,878
152,6728,credit_card,4474
153,698,gift_card,6615
154,3663,bank_transfer,4652
155,3188,coupon,784
156,2601,credit_card,2665
157,8332,credit_card,3337
158,2031,coupon,715
159,4106,credit_card,7591
160,9799,credit_card,7284
161,9954,credit_card,6802
162,4590,coupon,3431
163,4853,credit_card,4485
164,9882,bank_transfer,7312
165,4604,credit_card,318
166,9576,coupon,4763
167,8820,bank_transfer,1321
168,4832,coupon,2746
169,3093,credit_card,5967
170,8816,coupon,625
171,8527,bank_transfer,7533
172,5923,credit_card,6587
173,4937,credit_card,2472
174,9666,credit_card,2334
175,5108,bank_transfer,1245
176,1353,coupon,3822
177,4918,coupon,4990
178,1301,bank_transfer,5447
179,3010,coupon,7911
180,7122,bank_transfer,5589
181,318,bank_transfer,1344
182,8696,gift_card,1664
183,777,gift_card,7623
184,7128,bank_transfer,5214
185,5710,gift_card,830
186,1951,coupon,797
187,9092,credit_card,6012
188,9591,coupon,5795
189,5338,credit_card,835
190,6216,bank_transfer,2846
191,8012,gift_card,6983
192,7110,credit_card,6560
193,8793,gift_card,2730
194,948,credit_card,1065
195,7279,gift_card,7606
196,8285,credit_card,5986
197,7731,credit_card,3526
198,8922,coupon,6147
199,7660,gift_card,1282
200,2290,bank_transfer,6622
201,1007,coupon,497
202,1917,coupon,7468
203,2448,credit_card,1935
204,9876,coupon,5234
205,2050,credit_card,673
206,6633,coupon,1206
207,9109,coupon,616
208,9970,bank_transfer,5882
209,8629,bank_transfer,2158
210,9330,bank_transfer,2368
211,7878,bank_transfer,4585
212,1741,coupon,6096
213,3536,coupon,3665
214,1984,gift_card,3178
215,2592,coupon,7297
216,9321,bank_transfer,211
217,2825,gift_card,6609
218,1339,bank_transfer,46
219,8874,bank_transfer,1393
220,9672,coupon,7893
221,223,gift_card,5052
222,7190,credit_card,6026
223,9290,gift_card,1843
224,9210,credit_card,308
225,1781,coupon,5623
226,4166,coupon,542
227,5633,credit_card,1722
228,923,gift_card,5172
229,5027,gift_card,6425
230,4774,bank_transfer,1956
231,7572,coupon,7433
232,5272,gift_card,5931
233,2844,credit_card,1592
234,4654,coupon,4856
235,6697,gift_card,1691
236,754,gift_card,1801
237,3029,bank_transfer,4405
238,720,gift_card,6919
239,7105,bank_transfer,2561
240,9006,gift_card,6139
241,5215,coupon,3386
242,9128,coupon,476
243,9465,credit_card,3322
244,2235,bank_transfer,5694
245,5584,gift_card,7673
246,6828,bank_transfer,2021
247,1057,credit_card,3462
248,7560,credit_card,3402
249,6128,credit_card,7851
250,7482,gift_card,3764
251,9786,gift_card,4370
252,7930,bank_transfer,6652
253,9820,gift_card,1053
254,720,bank_transfer,7390
255,9660,gift_card,3712
256,6252,gift_card,7026
257,1072,gift_card,1423
258,6736,bank_transfer,7862
259,1137,credit_card,5702
260,7087,coupon,6149
261,1706,credit_card,7601
262,265,coupon,5457
263,6289,bank_transfer,101
264,892,coupon,7459
265,8189,credit_card,2405
266,3945,coupon,6493
267,7712,credit_card,7344
268,3764,bank_transfer,3103
269,6972,credit_card,693
270,9848,credit_card,7713
271,4362,credit_card,3076
272,2359,coupon,2448
273,5399,credit_card,7512
274,6365,coupon,2593
275,5587,bank_transfer,3613
276,8901,credit_card,2686
277,1172,coupon,5451
278,8847,credit_card,2118
279,8267,gift_card,7353
280,8855,gift_card,4622
281,21,bank_transfer,7021
282,2702,bank_transfer,5386
283,7076,coupon,4550
284,4255,coupon,5322
285,5539,credit_card,5824
286,6115,credit_card,6154
287,3823,credit_card,592
288,1251,coupon,7674
289,7408,gift_card,5205
290,3157,coupon,681
291,1047,credit_card,5031
292,982,coupon,5875
293,5924,bank_transfer,6954
294,8797,bank_transfer,5535
295,8206,credit_card,7470
296,9172,gift_card,3824
297,8789,bank_transfer,4574
298,1395,gift_card,6319
299,3479,gift_card,2469
300,6176,bank_transfer,5633
301,4554,coupon,5292
302,9996,bank_transfer,6528
303,3800,bank_transfer,626
304,4054,credit_card,4595
305,5904,credit_card,6798
306,695,credit_card,1928
307,988,coupon,5347
308,6551,coupon,1855
309,8979,bank_transfer,4106
310,6618,coupon,526
311,4800,bank_transfer,5449
312,1262,bank_transfer,135
313,9203,coupon,3477
314,5857,bank_transfer,4616
315,6717,bank_transfer,2374
316,2247,gift_card,6623
317,4335,bank_transfer,2146
318,1097,bank_transfer,3837
319,6822,bank_transfer,1401
320,7998,credit_card,6492
321,2939,bank_transfer,1348
322,2780,coupon,2112
323,9036,gift_card,3258
324,4228,coupon,7049
325,6136,bank_transfer,6374
326,691,coupon,7478
327,7255,coupon,6442
328,8928,bank_transfer,4800
329,5626,coupon,3832
330,8954,coupon,3263
331,9696,bank_transfer,7509
332,2053,coupon,4767
333,8592,credit_card,4710
334,4934,coupon,1914
335,1204,gift_card,5736
336,3141,coupon,2047
337,742,gift_card,692
338,8840,coupon,7892
339,4201,credit_card,6431
340,4820,bank_transfer,6073
341,7228,gift_card,3766
342,8711,gift_card,1710
343,247,coupon,2650
344,9198,gift_card,2400
345,888,credit_card,2743
346,5549,bank_transfer,5533
347,6917,coupon,4436
348,710,credit_card,1945
349,2015,coupon,3516
350,1225,coupon,7471
351,4159,credit_card,762
352,8055,bank_transfer,4898
353,4409,gift_card,2531
354,5378,bank_transfer,6590
355,92,bank_transfer,7190
356,2460,coupon,6563
357,3904,bank_transfer,1356
358,2437,coupon,2502
359,5378,credit_card,912
360,3597,credit_card,3090
361,7710,bank_transfer,7948
362,247,gift_card,3655
363,3979,bank_transfer,3927
364,9590,gift_card,5961
365,1255,coupon,6144
366,3510,gift_card,2158
367,5542,gift_card,7927
368,6846,bank_transfer,5015
369,4981,coupon,6060
370,6205,coupon,1467
371,5128,bank_transfer,376
372,194,bank_transfer,7791
373,3776,coupon,5147
374,2274,credit_card,2946
375,8587,credit_card,3569
376,9057,credit_card,4407
377,1296,bank_transfer,5603
378,5965,credit_card,2315
379,8835,bank_transfer,2671
380,4296,bank_transfer,3116
381,1880,coupon,3348
382,2538,coupon,3627
383,3394,credit_card,6313
384,1733,gift_card,7991
385,85,coupon,7819
386,1356,bank_transfer,6250
387,3462,bank_transfer,6111
388,3751,gift_card,272
389,1705,credit_card,1770
390,7945,coupon,2749
391,8543,bank_transfer,681
392,2055,bank_transfer,4517
393,6114,bank_transfer,6411
394,2436,coupon,3554
395,3748,bank_transfer,3925
396,2832,gift_card,4349
397,4612,coupon,3298
398,2424,gift_card,5548
399,148,bank_transfer,3038
400,2086,credit_card,4358
401,7798,bank_transfer,2356
402,3257,credit_card,7943
403,4278,bank_transfer,5034
404,4389,credit_card,2709
405,8853,bank_transfer,7807
406,1584,coupon,5432
407,5936,bank_transfer,1408
408,8238,gift_card,2238
409,3925,credit_card,5079
410,8886,credit_card,357
411,5980,credit_card,3640
412,2796,gift_card,2266
413,5938,coupon,2911
414,4510,bank_transfer,2538
415,9837,credit_card,3736
416,261,gift_card,3746
417,2044,credit_card,6432
418,1246,credit_card,5767
419,7557,bank_transfer,301
420,7364,credit_card,4482
421,2436,credit_card,1698
422,6650,bank_transfer,2449
423,8135,gift_card,2994
424,1406,credit_card,2604
425,1634,bank_transfer,1425
426,2172,coupon,2877
427,7349,credit_card,3616
428,7667,gift_card,5869
429,9394,bank_transfer,7652
430,1911,credit_card,5517
431,7681,bank_transfer,724
432,8735,bank_transfer,7421
433,9687,bank_transfer,3343
434,8108,coupon,7470
435,5778,credit_card,290
436,5235,bank_transfer,6971
437,8246,gift_card,5475
438,6012,coupon,1845
439,2689,gift_card,1762
440,6576,gift_card,5953
441,6756,gift_card,1083
442,8828,credit_card,3459
443,9350,gift_card,7819
444,8744,gift_card,162
445,4959,gift_card,6055
446,8921,credit_card,1083
447,6338,gift_card,1456
448,7577,gift_card,5204
449,4291,coupon,3002
450,9741,credit_card,6845
451,7034,coupon,3241
452,3395,coupon,1540
453,3239,coupon,4563
454,4144,bank_transfer,1779
455,1124,coupon,1900
456,56,bank_transfer,7186
457,6232,gift_card,7236
458,3550,credit_card,3646
459,1771,gift_card,3681
460,8820,credit_card,6322
461,4854,credit_card,5031
462,8384,gift_card,2409
463,6569,coupon,4596
464,6417,credit_card,4053
465,5589,bank_transfer,4716
466,9089,gift_card,2437
467,9625,coupon,4850
468,4727,credit_card,2060
469,2693,gift_card,1781
470,9058,credit_card,7855
471,4569,bank_transfer,3515
472,3923,bank_transfer,5231
473,9844,gift_card,371
474,9427,credit_card,113
475,2138,gift_card,6747
476,7682,coupon,7548
477,8511,coupon,6843
478,6173,bank_transfer,1315
479,2686,bank_transfer,6191
480,1768,coupon,4235
481,1572,credit_card,1564
482,9130,bank_transfer,6976
483,2745,coupon,6585
484,6997,gift_card,7444
485,689,gift_card,5212
486,3088,gift_card,1776
487,6001,gift_card,2849
488,3752,credit_card,5515
489,6064,gift_card,4383
490,1327,bank_transfer,848
491,2625,bank_transfer,6148
492,6522,gift_card,4640
493,5849,bank_transfer,2524
494,2293,coupon,2657
495,1007,gift_card,3997
496,1655,bank_transfer,1776
497,2039,credit_card,5260
498,5241,coupon,3413
499,5736,gift_card,1078
500,8756,bank_transfer,4093
501,2537,gift_card,1597
502,1847,coupon,6666
503,1109,gift_card,3646
504,2505,coupon,351
505,9751,credit_card,6172
506,7055,bank_transfer,1740
507,6830,credit_card,5271
508,4167,coupon,2757
509,9579,bank_transfer,2535
510,2306,credit_card,1330
511,3604,bank_transfer,4650
512,6465,bank_transfer,540
513,8007,coupon,4677
514,384,bank_transfer,905
515,8771,coupon,4402
516,9758,credit_card,4086
517,1715,coupon,6301
518,1107,bank_transfer,2485
519,6480,coupon,1771
520,255,gift_card,5423
521,4700,credit_card,888
522,8098,gift_card,4969
523,3349,coupon,1263
524,2261,coupon,5881
525,2077,bank_transfer,6387
526,1494,gift_card,7812
527,9874,credit_card,4920
528,660,gift_card,5273
529,2823,credit_card,5145
530,4570,credit_card,3434
531,3804,coupon,7408
532,5981,credit_card,2414
533,8844,credit_card,5259
534,590,bank_transfer,7359
535,761,credit_card,6224
536,7,coupon,1361
537,4566,gift_card,7093
538,3411,credit_card,4555
539,1029,coupon,5687
540,1280,coupon,2350
541,9504,coupon,267
542,2915,gift_card,4279
543,2145,bank_transfer,6354
544,4364,bank_transfer,4248
545,5030,bank_transfer,2376
546,4347,credit_card,4219
547,7140,gift_card,4263
548,5938,credit_card,3269
549,5723,credit_card,4806
550,3540,gift_card,5454
551,4373,coupon,5715
552,3206,coupon,4269
553,6621,coupon,7438
554,7833,bank_transfer,6363
555,8821,coupon,732
556,3550,coupon,2969
557,2088,credit_card,638
558,1673,coupon,7984
559,2281,bank_transfer,2469
560,2786,bank_transfer,4384
561,8790,coupon,4425
562,3651,gift_card,4534
563,7867,coupon,307
564,7222,bank_transfer,6585
565,7710,credit_card,7681
566,762,gift_card,5428
567,4532,credit_card,4968
568,7090,gift_card,5217
569,5770,credit_card,2738
570,5155,credit_card,4198
571,1853,credit_card,6819
572,6737,bank_transfer,4634
573,9720,bank_transfer,7946
574,5042,bank_transfer,4449
575,6972,credit_card,3523
576,1227,credit_card,6036
577,6675,credit_card,1857
578,8200,bank_transfer,2006
579,237,credit_card,2301
580,6372,gift_card,6394
581,9709,bank_transfer,5451
582,4249,credit_card,7104
583,1942,credit_card,69
584,2288,credit_card,4348
585,1389,gift_card,5412
586,5337,coupon,4674
587,7039,gift_card,2288
588,5552,bank_transfer,7803
589,8052,coupon,1866
590,8809,gift_card,1314
591,9109,bank_transfer,4164
592,7856,credit_card,105
593,7153,gift_card,5380
594,8408,coupon,4118
595,7633,credit_card,6387
596,157,credit_card,2161
597,1607,coupon,5895
598,3408,coupon,3973
599,9307,gift_card,6709
600,5054,coupon,672
601,9929,gift_card,1777
602,7863,credit_card,2468
603,114,gift_card,4396
604,7438,gift_card,2964
605,2316,bank_transfer,7353
606,8506,bank_transfer,7475
607,9671,credit_card,1620
608,2835,credit_card,4605
609,874,bank_transfer,5895
610,5810,coupon,3579
611,764,coupon,2947
612,4018,coupon,7398
613,7905,bank_transfer,3290
614,6684,bank_transfer,6361
615,9665,coupon,1996
616,8008,gift_card,7212
617,6778,coupon,3081
618,534,credit_card,6225
619,7330,bank_transfer,3282
620,4750,coupon,5525
621,2013,bank_transfer,6740
622,9044,coupon,7052
623,4539,bank_transfer,5631
624,8476,coupon,5054
625,7344,gift_card,7433
626,2767,credit_card,3100
627,2413,bank_transfer,4150
628,2745,bank_transfer,5533
629,352,gift_card,7739
630,4663,bank_transfer,7148
631,3136,coupon,6754
632,7253,gift_card,4429
633,7629,bank_transfer,7544
634,6783,bank_transfer,2868
635,8439,credit_card,1329
636,9960,gift_card,156
637,7848,bank_transfer,4073
638,5119,gift_card,5080
639,1048,coupon,6422
640,576,coupon,5649
641,6769,gift_card,5224
642,8398,credit_card,5195
643,8720,gift_card,4876
644,598,credit_card,2906
645,4870,credit_card,1099
646,224,credit_card,4044
647,2695,coupon,735
648,2611,bank_transfer,3308
649,2595,gift_card,2086
650,2376,coupon,1170
651,1972,gift_card,1875
652,3873,gift_card,6645
653,2497,coupon,7939
654,6826,credit_card,6368
655,1808,credit_card,6901
656,7407,coupon,4058
657,711,coupon,1102
658,2666,credit_card,2251
659,5904,bank_transfer,759
660,5106,coupon,3637
661,7489,credit_card,234
662,3640,gift_card,1710
663,5102,credit_card,2819
664,9117,gift_card,2235
665,6861,gift_card,7721
666,8549,bank_transfer,5946
667,2926,coupon,435
668,6217,credit_card,7419
669,4432,credit_card,4534
670,1506,credit_card,4269
671,8083,bank_transfer,6804
672,2571,gift_card,6470
673,8798,coupon,6912
674,8021,credit_card,7802
675,4475,gift_card,492
676,2439,coupon,1863
677,2875,gift_card,444
678,6733,credit_card,5828
679,1505,coupon,7828
680,5642,bank_transfer,5871
681,5119,coupon,1240
682,6788,bank_transfer,546
683,6729,coupon,3190
684,9876,credit_card,1017
685,5020,bank_transfer,5485
686,2782,coupon,2697
687,524,gift_card,2510
688,1536,bank_transfer,4782
689,4347,gift_card,2748
690,7755,gift_card,6559
691,2191,gift_card,845
692,2742,credit_card,5925
693,1299,coupon,7028
694,7790,coupon,2591
695,2040,gift_card,7156
696,1541,gift_card,4954
697,9072,bank_transfer,3737
698,4581,gift_card,3480
699,1624,bank_transfer,5548
700,2394,credit_card,6433
701,3146,bank_transfer,1916
702,9752,bank_transfer,1933
703,1417,coupon,4082
704,246,credit_card,7107
705,585,coupon,7868
706,9242,coupon,2676
707,3900,gift_card,5972
708,4321,bank_transfer,1060
709,9394,credit_card,3252
710,3987,coupon,1866
711,4309,gift_card,5953
712,6230,bank_transfer,6431
713,1617,gift_card,705
714,5290,bank_transfer,3886
715,1286,bank_transfer,7714
716,2779,coupon,441
717,1493,gift_card,850
718,661,bank_transfer,5524
719,3899,gift_card,741
720,6786,coupon,6984
721,8310,bank_transfer,5818
722,9600,gift_card,5072
723,6491,gift_card,6114
724,4946,coupon,544
725,5527,credit_card,528
726,4861,bank_transfer,6022
727,7968,bank_transfer,6098
728,4757,coupon,5236
729,2126,bank_transfer,1222
730,5518,credit_card,719
731,7457,bank_transfer,7227
732,3300,credit_card,2076
733,8438,credit_card,5648
734,8946,coupon,7758
735,332,credit_card,787
736,4521,bank_transfer,6385
737,7048,coupon,2214
738,6328,bank_transfer,1865
739,7004,gift_card,136
740,858,gift_card,5183
741,8846,coupon,3972
742,5706,credit_card,441
743,2184,bank_transfer,7026
744,6607,coupon,2615
745,5618,coupon,2604
746,5548,credit_card,1443
747,2707,gift_card,4216
748,2883,coupon,3934
749,4369,gift_card,7350
750,2889,coupon,5808
751,2761,coupon,6835
752,7643,credit_card,5180
753,2039,gift_card,1601
754,8835,bank_transfer,5223
755,6485,credit_card,6305
756,9858,credit_card,4392
757,6213,credit_card,7470
758,8518,gift_card,7961
759,981,bank_transfer,4741
760,5966,gift_card,6690
761,604,gift_card,1252
762,891,bank_transfer,1124
763,5253,coupon,1187
764,4855,bank_transfer,5288
765,6913,gift_card,7924
766,292,gift_card,4751
767,6528,gift_card,5462
768,646,coupon,1102
769,6390,coupon,3197
770,2099,bank_transfer,2923
771,4935,gift_card,4038
772,3035,bank_transfer,5359
773,342,bank_transfer,370
774,7961,credit_card,6401
775,9187,credit_card,318
776,702,credit_card,3326
777,9768,gift_card,1906
778,1645,bank_transfer,2969
779,9973,credit_card,6094
780,8719,bank_transfer,4272
781,1204,gift_card,6997
782,2833,bank_transfer,3664
783,6692,coupon,619
784,5746,credit_card,7375
785,2143,bank_transfer,6905
786,5819,bank_transfer,6863
787,634,coupon,7761
788,2374,bank_transfer,3755
789,9870,bank_transfer,4339
790,3826,gift_card,5433
791,4774,bank_transfer,2205
792,5565,coupon,5212
793,4921,bank_transfer,925
794,971,credit_card,7986
795,2194,credit_card,3856
796,3496,bank_transfer,6927
797,1036,bank_transfer,7909
798,6050,credit_card,4364
799,5130,bank_transfer,6389
800,4482,credit_card,6986
801,3502,coupon,1428
802,9841,coupon,2308
803,2759,bank_transfer,1071
804,1003,coupon,2174
805,5592,credit_card,6833
806,5017,gift_card,1771
807,6130,coupon,209
808,8975,gift_card,4938
809,2166,gift_card,5197
810,3474,bank_transfer,1602
811,2357,gift_card,822
812,1517,credit_card,6792
813,6368,bank_transfer,4511
814,9080,coupon,3708
815,5967,coupon,4067
816,819,bank_transfer,3252
817,3162,gift_card,6539
818,4963,credit_card,100
819,8517,gift_card,4779
820,1034,coupon,7228
821,1127,credit_card,614
822,1609,gift_card,5714
823,9527,gift_card,4279
824,3489,gift_card,1030
825,2303,bank_transfer,605
826,66,gift_card,2254
827,1555,credit_card,6659
828,6975,bank_transfer,2356
829,8143,gift_card,5183
830,1194,credit_card,1423
831,7408,coupon,4430
832,1698,credit_card,6760
833,3399,bank_transfer,5163
834,5620,bank_transfer,3773
835,898,credit_card,6567
836,2159,coupon,423
837,9378,gift_card,1123
838,4044,bank_transfer,3007
839,227,bank_transfer,2020
840,2628,coupon,3713
841,9640,credit_card,5860
842,3328,coupon,2789
843,1682,credit_card,6316
844,5496,gift_card,7772
845,1629,credit_card,1680
846,2363,credit_card,2142
847,8416,gift_card,2777
848,5412,bank_transfer,2828
849,2641,gift_card,7569
850,2625,gift_card,7914
851,7642,coupon,5101
852,4769,gift_card,6070
853,3723,gift_card,3772
854,2286,coupon,7499
855,7509,credit_card,7252
856,2949,coupon,3524
857,5598,credit_card,5864
858,4092,gift_card,1302
859,9164,bank_transfer,7394
860,5703,bank_transfer,7808
861,3849,coupon,6971
862,3233,coupon,5198
863,5313,gift_card,7145
864,2094,credit_card,6343
865,7136,credit_card,4037
866,740,credit_card,7619
867,1371,credit_card,4762
868,2049,credit_card,2182
869,1991,coupon,1985
870,1486,coupon,7144
871,1307,credit_card,88
872,2127,coupon,3664
873,9493,coupon,2006
874,1318,coupon,1406
875,8922,gift_card,2324
876,1497,coupon,963
877,5032,bank_transfer,2751
878,5111,coupon,3032
879,8218,bank_transfer,4932
880,1920,bank_transfer,7981
881,2812,credit_card,5224
882,2089,credit_card,7023
883,6081,coupon,4074
884,4857,coupon,5162
885,9628,gift_card,7083
886,1850,coupon,5314
887,2598,bank_transfer,5974
888,8087,coupon,5765
889,3132,gift_card,2654
890,245,credit_card,6339
891,1374,bank_transfer,6873
892,7486,credit_card,2536
893,208,coupon,2909
894,5176,bank_transfer,6379
895,4935,bank_transfer,4953
896,1813,bank_transfer,901
897,5546,credit_card,2365
898,7911,credit_card,5931
899,4784,bank_transfer,5299
900,5011,bank_transfer,5759
901,6215,gift_card,4872
902,2606,credit_card,5175
903,6089,coupon,7211
904,7407,credit_card,3334
905,8618,credit_card,349
906,2613,credit_card,2125
907,9892,bank_transfer,1854
908,3881,coupon,4229
909,2519,coupon,3695
910,3758,coupon,4275
911,7397,coupon,1978
912,8996,gift_card,4847
913,2253,coupon,3105
914,7663,coupon,1493
915,7163,gift_card,3940
916,4669,bank_transfer,303
917,2861,credit_card,2830
918,8054,gift_card,7170
919,8563,coupon,5960
920,6745,gift_card,6788
921,9004,credit_card,2677
922,3859,bank_transfer,1927
923,4572,gift_card,3937
924,7064,bank_transfer,5283
925,6375,credit_card,6852
926,5098,coupon,447
927,4200,bank_transfer,1890
928,8888,gift_card,6214
929,4413,coupon,4851
930,7403,gift_card,2745
931,3262,coupon,3971
932,3320,gift_card,6905
933,5795,bank_transfer,2644
934,5904,credit_card,4548
935,2104,credit_card,879
936,8527,credit_card,235
937,2212,gift_card,5522
938,1268,coupon,4397
939,1696,gift_card,3913
940,708,gift_card,5967
941,4734,coupon,2695
942,3441,gift_card,6706
943,6315,coupon,6723
944,7469,credit_card,5276
945,5477,gift_card,4341
946,7455,coupon,1837
947,7286,bank_transfer,1885
948,2313,bank_transfer,4812
949,4204,bank_transfer,5451
950,8562,bank_transfer,1491
951,8937,coupon,5851
952,4970,bank_transfer,7588
953,3021,bank_transfer,3568
954,5765,bank_transfer,7973
955,7140,bank_transfer,4188
956,9088,credit_card,7800
957,1586,credit_card,1303
958,3613,bank_transfer,6693
959,2235,coupon,1127
960,3835,credit_card,4792
961,6703,credit_card,6131
962,7142,credit_card,6949
963,7656,coupon,5525
964,7548,coupon,3477
965,9117,credit_card,7427
966,1541,coupon,4720
967,3030,gift_card,379
968,3923,gift_card,5614
969,37,gift_card,3054
970,7573,bank_transfer,1323
971,9045,coupon,6432
972,4959,bank_transfer,6325
973,4433,coupon,5639
974,6000,coupon,48
975,1357,bank_transfer,899
976,9180,bank_transfer,1318
977,1855,credit_card,4346
978,5758,credit_card,2432
979,2446,gift_card,6207
980,6529,credit_card,1478
981,255,bank_transfer,4551
982,4075,coupon,5488
983,8693,coupon,3849
984,3609,credit_card,2705
985,2306,credit_card,160
986,6369,bank_transfer,2801
987,7374,gift_card,5393
988,8048,gift_card,7200
989,3083,coupon,7208
990,4606,bank_transfer,7293
991,5117,gift_card,1054
992,6611,coupon,3132
993,4602,credit_card,5635
994,9311,bank_transfer,7241
995,7716,gift_card,1185
996,9227,bank_transfer,4358
997,7049,gift_card,5939
998,386,coupon,3537
999,4154,gift_card,4846
1000,2511,gift_card,959
1001,6302,bank_transfer,767
1002,5436,coupon,2544
1003,9259,bank_transfer,5847
1004,9442,bank_transfer,4754
1005,8268,gift_card,5260
1006,3036,bank_transfer,1195
1007,8313,gift_card,7911
1008,3059,gift_card,1070
1009,6024,credit_card,2836
1010,4431,bank_transfer,6673
1011,7196,gift_card,879
1012,6062,coupon,3667
1013,9048,coupon,3145
1014,786,bank_transfer,4109
1015,6542,bank_transfer,6548
1016,9389,credit_card,6610
1017,4148,coupon,2697
1018,7052,coupon,5220
1019,7671,gift_card,169
1020,8065,gift_card,5346
1021,2009,credit_card,1835
1022,9244,credit_card,2338
1023,1919,coupon,489
1024,2081,gift_card,4653
1025,7059,credit_card,6660
1026,5302,bank_transfer,1739
1027,3430,gift_card,6662
1028,161,credit_card,6512
1029,9993,bank_transfer,2340
1030,7504,bank_transfer,1998
1031,5337,gift_card,5191
1032,582,coupon,6417
1033,1706,bank_transfer,7058
1034,8784,coupon,2715
1035,2105,gift_card,1700
1036,8388,bank_transfer,7538
1037,8768,bank_transfer,6738
1038,7966,coupon,6402
1039,430,bank_transfer,6234
1040,8765,coupon,1864
1041,1143,coupon,1926
1042,8590,gift_card,7050
1043,9609,gift_card,866
1044,1704,gift_card,982
1045,5850,coupon,683
1046,826,bank_transfer,4377
1047,284,credit_card,2085
1048,7847,coupon,7127
1049,5758,credit_card,2180
1050,3512,credit_card,7741
1051,6169,coupon,1921
1052,6400,credit_card,1713
1053,9942,coupon,7007
1054,2849,gift_card,3214
1055,2002,gift_card,755
1056,1495,credit_card,1864
1057,9389,coupon,834
1058,6946,credit_card,3904
1059,8918,coupon,4130
1060,3593,coupon,1720
1061,5419,credit_card,1636
1062,3377,gift_card,7419
1063,5626,gift_card,7828
1064,6736,gift_card,606
